note0,note1,note2,note3
65,60,57,53
65,60,57,53
65,60,57,53
65,60,57,53
72,60,55,52
72,60,55,52
70,60,55,52
70,60,55,52
69,60,53,53
69,60,53,53
67,60,55,52
67,60,55,52
65,62,57,50
65,62,57,50
65,64,58,50
65,64,58,50
72,65,60,45
72,65,60,45
72,65,60,45
72,65,60,45
74,65,60,46
74,65,60,46
74,65,58,48
74,65,57,48
74,65,58,50
74,65,58,50
74,65,58,52
74,65,58,52
72,65,57,53
72,65,57,53
72,65,57,53
72,65,57,53
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
71,65,59,52
